,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
1332,은희상,1.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,상명대학교,MBC배 대학리그
1333,이  성,6.0,1:51:30,31.0,5.0,15.0,31.0,48.40%,0.0,1.0,0.00%,1.0,4.0,25.00%,14.0,21.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2009.0,동국대학교,MBC배 대학리그
1334,이강산,1.0,0:05:45,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2004.0,성균관대학교,MBC배 대학리그
1335,이강현,2.0,0:01:46,2.0,1.0,0.0,0.0,0.00%,0.0,0.0,0.00%,2.0,2.0,100.00%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,중앙대학교,대학농구리그
1336,이강호,3.0,0:51:08,11.0,3.0,1.0,3.0,33.30%,3.0,10.0,30.00%,0.0,0.0,0.00%,1.0,6.0,2.0,2.0,0.7,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2009.0,단국대학교,MBC배 대학리그
1337,이강호,1.0,0:21:12,6.0,6.0,0.0,2.0,0.00%,2.0,3.0,66.70%,0.0,0.0,0.00%,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2010.0,단국대학교,MBC배 대학리그
1338,이건명,8.0,0:27:22,10.0,1.0,5.0,6.0,83.30%,0.0,2.0,0.00%,0.0,0.0,0.00%,1.0,1.0,0.0,3.0,0.4,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,2011.0,경희대학교,대학농구리그
1339,이건명,5.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,경희대학교,MBC배 대학리그
1340,이경도,2.0,1:06:11,12.0,6.0,3.0,8.0,37.50%,1.0,9.0,11.10%,3.0,4.0,75.00%,5.0,7.0,6.0,8.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2021.0,단국대학교,대학농구리그
1341,이경도,3.0,1:44:58,48.0,16.0,20.0,34.0,58.80%,2.0,5.0,40.00%,2.0,2.0,100.00%,6.0,13.0,6.0,23.0,7.7,6.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,8.0,1.0,14.0,3.0,1.0,2021.0,단국대학교,대학농구리그
