,Unnamed: 0,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
1243,1678,정규경기,2012-2013,28,리차드 로비,원주동부,11.4,4.8,7.8,55.8,1.4,2.2,65.5,3.7,5.9,62.0,1.4,1.9,3.2,1.0,1.7,0.8,0.6,1.3
1244,1657,정규경기,2012-2013,7,리카르도 라틀리프,울산모비스,15.1,6.5,10.1,64.2,2.1,3.1,68.6,6.0,8.9,67.8,3.6,5.1,8.7,1.5,1.6,0.6,1.2,2.4
1245,5006,플레이오프,2012-2013,5,리카르도 라틀리프,울산모비스,16.3,6.3,8.3,76.0,3.7,4.7,78.6,4.7,6.3,73.7,3.7,4.7,8.3,0.3,1.7,2.0,0.0,1.0
1246,1504,정규경기,2013-2014,25,리카르도 라틀리프,울산모비스,10.4,4.4,7.2,61.4,1.6,2.3,68.3,4.2,6.6,63.7,2.2,3.8,6.0,1.1,1.3,0.5,1.5,2.4
1247,4930,플레이오프,2013-2014,6,리카르도 라틀리프,울산모비스,13.3,6.0,10.0,60.0,1.3,1.8,71.4,5.8,9.5,60.5,3.5,4.8,8.3,3.0,0.8,0.5,1.3,3.8
1248,1305,정규경기,2014-2015,2,리카르도 라틀리프,울산모비스,20.1,8.8,13.3,65.9,2.6,3.6,71.1,7.5,10.4,71.8,3.3,6.6,10.0,1.7,1.8,0.7,1.7,3.0
1249,4815,플레이오프,2014-2015,4,리카르도 라틀리프,울산모비스,18.6,8.0,14.6,54.8,2.6,4.2,61.9,6.4,10.6,60.4,4.6,9.6,14.2,2.8,1.6,0.6,2.4,2.8
1250,1119,정규경기,2015-2016,7,리카르도 라틀리프,서울삼성,20.0,8.8,14.4,60.6,2.5,3.3,74.4,6.8,9.7,70.2,4.5,7.3,11.8,2.7,2.0,0.9,1.1,2.6
1251,4708,플레이오프,2015-2016,2,리카르도 라틀리프,서울삼성,22.0,9.5,19.0,50.0,3.0,4.3,70.6,8.3,14.3,57.9,6.8,8.3,15.0,1.8,1.5,0.5,0.8,3.5
1252,2322,정규경기,2008-2009,3,리카르도 포웰,인천전자랜드,25.2,9.8,14.8,57.8,4.4,5.7,77.0,7.4,11.4,65.3,1.6,5.0,6.6,4.1,2.7,1.2,0.9,2.1
1253,5329,플레이오프,2008-2009,1,리카르도 포웰,인천전자랜드,28.4,9.8,12.6,61.9,6.8,9.4,72.3,6.2,9.4,66.0,1.6,4.4,6.0,5.0,2.0,1.6,1.4,2.0
1254,2560,정규경기,2007-2008,71,마르커스 세션,부산KTF,6.0,2.4,6.4,34.4,1.0,2.6,38.5,1.6,4.6,34.8,1.0,2.8,3.8,0.4,0.6,0.2,0.2,2.8
1255,3435,정규경기,2001-2002,4,마르커스 힉스,대구동양,24.2,9.8,13.5,62.0,3.2,4.5,70.6,0.0,0.0,0.0,2.3,5.9,8.2,3.7,3.6,1.2,2.9,2.7
1256,5879,플레이오프,2001-2002,1,마르커스 힉스,대구동양,28.4,11.0,14.0,68.6,5.0,6.2,80.6,0.0,0.0,0.0,1.8,9.0,10.8,4.4,3.4,0.8,2.2,2.2
1257,3283,정규경기,2002-2003,2,마르커스 힉스,대구동양,26.1,9.9,12.7,63.2,4.5,5.9,76.3,0.0,0.0,0.0,1.7,6.9,8.6,4.8,4.3,0.9,3.2,2.8
1258,5804,플레이오프,2002-2003,1,마르커스 힉스,대구동양,32.0,12.7,16.3,59.2,3.7,5.0,73.3,0.0,0.0,0.0,1.7,9.3,11.0,3.7,5.3,1.3,2.7,2.3
