,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
4336,D리그 1차,2011KBLWINTER,30,하재필,상무,0.3941467,0.5032092,0.6345642,0.6827276,0.41899112,0.6181437,0.24555711,-0.53075624,-0.5539209,-0.7869104,1.3992242,0.74310595,1.0370821,-0.19840875,0.03170517,-0.26129493,1.0093768,-0.22752291
4337,D리그 1차,2012KBLWINTER,26,하재필,상무,0.36650127,0.5032092,0.65724677,0.66977936,0.277839,0.3575883,0.323682,-0.53075624,-0.5539209,-0.7869104,0.88848406,0.871651,0.9178993,-0.19840875,-0.062622756,-0.10581585,2.6105902,-0.8714909
4338,정규경기,2013-2014,171,하재필,전주KCC,-1.0710568,-1.05171,-0.99856895,-1.95439,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.89910585,-0.9708269,-0.989024,-0.93355185,-1.1002297,-1.0386901,-0.591837,-1.6994497
4339,플레이오프,2009KBLSUMMER,23,하진철,전자랜드,-1.0710568,-1.05171,-0.99856895,-1.95439,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.89910585,-0.54234374,-0.6910672,-0.93355185,-1.1002297,-1.0386901,-0.591837,-0.7794955
4340,D리그 1차,2009KBLSUMMER,63,하진철,전자랜드,-0.96047544,-0.94569284,-0.99856895,-1.95439,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.89910585,-0.842282,-0.899637,-0.7330582,-0.6285902,-0.572253,-0.591837,-0.31951836
4341,D리그 1차,2009KBLWINTER,66,하진철,전자랜드,-0.57344055,-0.556963,-0.63565046,0.6999919,-0.49849787,-0.4761889,0.38377813,-0.53075624,-0.5539209,-0.7869104,-0.6437358,-0.75658536,-0.7506586,0.73722786,0.5976725,0.36062118,-0.39168528,-0.5035092
4342,정규경기,1997-1998,101,한규현,경남LG,-0.82224876,-0.7689975,-0.63565046,0.20364405,-0.63965005,-0.7367442,0.6331771,-0.53075624,-0.5539209,-0.7869104,-0.47348917,-0.8851303,-0.7804542,-0.6662271,-0.817246,-0.572253,-0.591837,0.32444963
4343,플레이오프,1997-1998,55,한규현,경남LG,-0.9328301,-0.87501466,-0.8851569,2.3616781,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.047872517,-0.54234374,-0.39311045,-0.93355185,-1.1002297,-1.0386901,-0.591837,-0.7794955
4344,정규경기,1998-1999,118,한규현,창원LG,-0.9328301,-0.87501466,-0.6583329,-0.5171394,-0.85137826,-0.37196675,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.47348917,-0.9708269,-0.84004563,-0.93355185,-1.1002297,-1.0386901,-0.591837,-0.31951836
4345,정규경기,2004-2005,145,한상민,원주TG삼보,-0.9742981,-0.98103184,-0.86247456,-0.685466,-0.569074,-0.5283,-0.11802434,-0.53075624,-0.5539209,-0.7869104,-0.6437358,-0.842282,-0.81025,-0.6662271,-0.817246,-0.572253,-0.591837,-0.7794955
4346,플레이오프,2004-2005,75,한상민,원주TG삼보,-1.0710568,-1.05171,-0.99856895,-1.95439,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.89910585,-0.9708269,-0.989024,-0.93355185,-1.1002297,-1.0386901,-0.591837,-1.6994497
4347,정규경기,2005-2006,144,한상민,원주동부,-1.0019435,-1.05171,-0.9532042,-1.95439,-0.49849787,-0.6325221,1.0087779,-0.53075624,-0.5539209,-0.7869104,-0.89910585,-0.92797863,-0.95922834,-0.79988945,-0.817246,-0.8832111,-0.39168528,-0.9634863
4348,정규경기,2005-2006,118,한상웅,서울SK,-0.84989405,-0.83967555,-0.7944273,0.5100848,-0.63965005,-0.6846332,0.38377813,-0.53075624,-0.5539209,-0.7869104,-0.8139825,-0.842282,-0.8698413,-0.59939593,-0.817246,-0.72773206,-0.591837,-0.6875
4349,정규경기,2006-2007,145,한상웅,서울SK,-1.0295888,-0.98103184,-0.83979213,-0.875373,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.44900924,-0.7869104,-0.89910585,-0.9708269,-0.989024,-0.7330582,-0.4399344,-0.572253,-0.591837,-1.2394725
